File Names,Total Number of Lines with Comments,Number of Lines without Comments,No. of Unconverted Lines,No. of Converted Lines,Conversion Percentage,Non-Conversion Percentage
(no Add Dem) ESFactor MRDW Data Pull.sas,573,499,23,476,95.39,4.609999999999999
01_Hotel_Acct_MA_SA_ID.sas,108,67,10,57,85.07,14.930000000000007
03_EPM_Catering_HotelAcct with AV.sas,306,220,11,209,95.0,5.0
03_EPM_Catering_HotelAcct.sas,298,214,12,202,94.39,5.609999999999999
04_Hotel_Acct_MA_SA_ID_Output.sas,163,113,10,103,91.15,8.849999999999994
14_MarketSharePerf.sas,148,123,27,96,78.05,21.950000000000003
2019_BT_Report_for_Sabrina.sas,195,162,36,126,77.78,22.22
7_CrossOverData.sas,50,39,2,37,94.87,5.1299999999999955
7_Group_Projection_Comparision_RMSAD_LockedFcst.sas,166,101,31,70,69.31,30.689999999999998
7_SRL_data.sas,85,53,10,43,81.13,18.870000000000005
Account_Dashboard_BT_MI.sas,552,400,54,346,86.5,13.5
Account_Dash_Sources.sas,304,200,29,171,85.5,14.5
ACT_MAMS_full_procedure.sas,170,98,16,82,83.67,16.33
Americas_01_Hotel_Acct_MA_SA_ID.sas,108,67,10,57,85.07,14.930000000000007
Americas_03_EPM_Catering_HotelAcct.sas,298,214,12,202,94.39,5.609999999999999
Americas_03_EPM_Catering_HotelAcct_with_AV.sas,306,220,11,209,95.0,5.0
Americas_04_Hotel_Acct_MA_SA_ID_Output.sas,163,113,10,103,91.15,8.849999999999994
Americas_14_MarketSharePerf.sas,148,123,27,96,78.05,21.950000000000003
Americas_2019_BT_Report_for_Sabrina.sas,195,162,36,126,77.78,22.22
Americas_7_CrossOverData.sas,50,39,2,37,94.87,5.1299999999999955
Americas_Account_Dashboard_BT_MI.sas,552,400,54,346,86.5,13.5
Americas_Account_Dash_Sources.sas,304,200,29,171,85.5,14.5
Americas_AP_Combined_MISW.sas,66,52,4,48,92.31,7.689999999999998
Americas_Archive_Hawaii_Property_List.sas,39,27,8,19,70.37,29.629999999999995
Americas_AreaSales_ATRTop100.sas,502,346,54,292,84.39,15.61
Americas_AW_Americas_Load_Acct_Dash_AP_Cleansed.sas,118,70,12,58,82.86,17.14
Americas_AW_Americas_Load_Acct_Data_Consolidated.sas,95,62,4,58,93.55,6.450000000000003
Americas_AW_Americas_Load_Acct_Detail_Cleansed.sas,213,86,12,74,86.05,13.950000000000003
Americas_AW_Americas_Load_AP_Combined_MISW.sas,128,75,6,69,92.0,8.0
Americas_AW_Americas_Load_MARSHA_Data_Consolidated.sas,90,58,4,54,93.1,6.900000000000006
Americas_AW_Area_Sales_CFD_Macro.sas,93,48,11,37,77.08,22.92
Americas_AW_Entertainment_BT_Load.sas,76,46,4,42,91.3,8.700000000000003
Americas_AW_Load_AreaSales_Final.sas,145,95,6,89,93.68,6.319999999999993
Americas_AW_Load_Area_ATR.sas,249,91,15,76,83.52,16.480000000000004
Americas_AW_Load_Area_Sales_Funnel.sas,100,51,12,39,76.47,23.53
Americas_AW_Load_Area_Special_Corp.sas,163,79,7,72,91.14,8.86
Americas_AW_Load_AssociateProduction_Dashboard.sas,100,63,4,59,93.65,6.349999999999994
Americas_AW_Load_AS_DataAdjustments_Final.sas,77,40,4,36,90.0,10.0
Americas_AW_Load_BTSM_BT_GOAL_PROD.sas,90,44,4,40,90.91,9.090000000000003
Americas_AW_Load_BTSM_QUAL_GOAL_PROD.sas,90,44,4,40,90.91,9.090000000000003
Americas_AW_Load_BTSM_RN_Detail.sas,96,50,4,46,92.0,8.0
Americas_AW_Load_BT_Inbnd_Otbnd.sas,115,63,26,37,58.73,41.27
Americas_AW_Load_CI07Dash.sas,58,37,4,33,89.19,10.810000000000002
Americas_AW_Load_InbndOutbnd_WIG_Data_v2.sas,64,44,1,43,97.73,2.269999999999996
Americas_AW_Load_LUX_Rate_Program_Prod.sas,79,44,4,40,90.91,9.090000000000003
Americas_AW_Load_LUX_RP_Details_Prod.sas,84,49,4,45,91.84,8.159999999999997
Americas_AW_Load_Manual_Adjustments.sas,145,98,4,94,95.92,4.079999999999998
Americas_AW_Load_MgrProd_Final.sas,140,89,6,83,93.26,6.739999999999995
Americas_AW_Load_Mgr_Prod_by_Account.sas,102,53,12,41,77.36,22.64
Americas_AW_Load_OutboundData.sas,123,72,6,66,91.67,8.329999999999998
Americas_AW_Load_Outbound_AP_Leadership_Dashboard_v2.sas,144,104,6,98,94.23,5.769999999999996
Americas_AW_Load_OwnerDashboard_Final.sas,114,66,4,62,93.94,6.060000000000002
Americas_AW_Load_Prod_Dynamic_Wholesale_Mth.sas,86,48,4,44,91.67,8.329999999999998
Americas_AW_Load_PropProd_Final.sas,131,84,4,80,95.24,4.760000000000005
Americas_AW_Load_QuoteData.sas,102,55,4,51,92.73,7.269999999999996
Americas_AW_Load_Sales_Participating_Properties.sas,99,38,4,34,89.47,10.530000000000001
Americas_AW_Load_TMC_Consortia_Prod.sas,92,58,4,54,93.1,6.900000000000006
Americas_Import_ManualAdj.sas,82,65,5,60,92.31,7.689999999999998
Americas_Import_Manual_Adjustments.sas,84,72,1,71,98.61,1.3900000000000006
Americas_OutboundData.sas,126,86,3,83,96.51,3.489999999999995
Americas_Pace_ManAdjustments_Detail_AW.sas,172,137,2,135,98.54,1.4599999999999937
Americas_Prop_Prod_v_Goal.sas,86,68,3,65,95.59,4.409999999999997
Americas_QD.sas,242,140,4,136,97.14,2.8599999999999994
Americas_QD_Whlsale.sas,300,169,26,143,84.62,15.379999999999995
Americas_Quote_Detail_with_Manual_Adds_AW.sas,134,95,16,79,83.16,16.840000000000003
Americas_SFO_Wholesale_Data_(FINAL).sas,260,138,22,116,84.06,15.939999999999998
Americas_Special_Corporate.sas,131,106,17,89,83.96,16.040000000000006
Americas_US_Account_Sales_ASAR_Project.sas,347,227,57,170,74.89,25.11
Americas_W_Consortia_Production.sas,260,221,47,174,78.73,21.269999999999996
Americas_YTD_Cost_Allocation.sas,120,88,6,82,93.18,6.819999999999993
Annual Bonus Reporting 2018 Converted to AW.sas,797,553,54,499,90.24,9.760000000000005
AP_Combined_MISW.sas,66,52,4,48,92.31,7.689999999999998
Archive_Hawaii_Property_List.sas,39,27,8,19,70.37,29.629999999999995
